X,Y,Z
0.259741,-2.49124,0.895636
0.213491,-2.32292,0.836233
0.194098,-2.26391,0.815344
0.18348,-2.30652,0.829705
0.22153,-3.02408,1.07776
0.160388,-2.9276,1.04317
0.141511,-2.90965,1.03664
0.12449,-2.93029,1.04349
0.0874798,-2.89664,1.03142
0.0707329,-2.94059,1.04643
0.0504537,-2.81339,1.00237
0.0333837,-2.83066,1.00824
-0.00144913,-2.93577,1.04447
-0.072847,-2.90934,1.03566
-6.91505,-3.16114,2.6562
-7.02581,-3.05669,2.67644
-7.05052,-3.01613,2.67872
-6.85415,-2.25875,2.52271
-6.85521,-2.16621,2.51324
-7.0625,-2.04246,2.56938
-7.05216,-1.99267,2.56122
4.30589,-2.00621,1.61298
4.27978,-2.0261,1.60793
4.28694,-2.06177,1.61519
4.27406,-2.12055,1.61993
4.26521,-2.14887,1.62151
4.22829,-2.1629,1.61267
4.21999,-2.19143,1.61456
4.23248,-2.231,1.62436
4.21704,-2.25603,1.62373
4.21063,-2.28594,1.62657
4.20899,-2.31859,1.63131
4.16818,-2.32957,1.6212
3.71725,-2.26105,1.47995
3.67827,-2.26838,1.47016
3.80025,-2.37589,1.52356
3.81926,-2.42049,1.53683
3.68938,-2.37005,1.49133
4.46752,-2.9087,1.80636
4.56521,-3.01234,1.8525
4.09391,-2.73761,1.67112
3.62225,-2.45456,1.48817
4.46832,-3.06794,1.83606
4.00934,-2.7892,1.65754
4.01076,-2.82687,1.66512
3.98948,-2.84867,1.66354
4.16335,-3.01154,1.74222
4.06132,-3.01434,1.71536
3.01889,-2.26963,1.28879
3.01019,-2.29213,1.291
3.57763,-2.75895,1.53557
3.46342,-2.70494,1.49449
3.44006,-2.72085,1.49165
3.33221,-2.66896,1.45278
3.24945,-2.63557,1.42434
3.75528,-3.08415,1.64932
3.79902,-3.1593,1.67649
3.82311,-3.21922,1.69545
3.49209,-2.97734,1.55927
3.04784,-2.6311,1.37189
3.22424,-2.85314,1.46479
3.2102,-2.87603,1.46637
3.21217,-2.91352,1.47522
3.2166,-2.95371,1.48533
3.13101,-2.91073,1.45468
3.11102,-2.92794,1.45373
3.03185,-2.88873,1.42561
2.97719,-2.87172,1.40854
2.81084,-2.74478,1.33934
2.76156,-2.72996,1.32418
2.72799,-2.73008,1.31628
2.96514,-3.00401,1.43667
3.31811,-3.48765,1.63415
3.31679,-3.52938,1.64395
2.52559,-2.72087,1.2673
2.52424,-2.75309,1.27488
2.59711,-2.86768,1.31944
2.58516,-2.88992,1.32228
2.89911,-3.2811,1.48912
2.67179,-3.06152,1.38421
2.63003,-3.05127,1.37252
2.61618,-3.07313,1.37505
2.57041,-3.05718,1.36115
2.89166,-3.48235,1.53841
2.84978,-3.47508,1.52767
3.05653,-3.77414,1.64837
2.95864,-3.69947,1.60856
3.22581,-4.0846,1.76434
2.7368,-3.50956,1.51313
2.66601,-3.46239,1.48627
1.89012,-2.48632,1.07108
1.86628,-2.48649,1.06634
2.60296,-3.5124,1.48691
2.89455,-3.95632,1.66354
2.94078,-4.07168,1.70367
3.04629,-4.27273,1.77856
3.0637,-4.35341,1.80383
